Date,TimeOfDay,AppCategory,DailyUsage,SessionUsage,,daily usage: cumulative of session usage
10/ 19/2025,0,socia,0,0,,session usage: session time
10/19/2025,1,socia,0,0,,
10/19/2025,2,socia,0,0,,
10/19/2025,3,socia,36,36,,
10/19/2025,4,socia,44,8,,
10/19/2025,5,socia,44,0,,
10/19/2025,6,socia,44,0,,
10/19/2025,7,socia,44,0,,
10/19/2025,8,socia,44,0,,
10/19/2025,9,socia,44,0,,
10/19/2025,10,socia,44,0,,
10/19/2025,11,socia,44,0,,
10/19/2025,12,socia,45,1,,
10/19/2025,13,socia,46,1,,
10/19/2025,14,socia,47,1,,
10/19/2025,15,socia,48,1,,
10/19/2025,16,socia,49,1,,
10/19/2025,17,socia,50,1,,
10/19/2025,18,socia,89,39,,
10/19/2025,19,socia,149,60,,
10/19/2025,20,socia,209,60,,
10/19/2025,21,socia,269,60,,
10/19/2025,22,socia,329,60,,
10/19/2025,23,socia,389,60,,
10/19/2025,0,entertainment,1,1,,
10/19/2025,1,entertainment,1,0,,
10/19/2025,2,entertainment,1,0,,
10/19/2025,3,entertainment,1,0,,
10/19/2025,4,entertainment,1,0,,
10/19/2025,5,entertainment,1,0,,
10/19/2025,6,entertainment,1,0,,
10/19/2025,7,entertainment,1,0,,
10/19/2025,8,entertainment,1,0,,
10/19/2025,9,entertainment,1,0,,
10/19/2025,10,entertainment,37,36,,
10/19/2025,11,entertainment,45,8,,
10/19/2025,12,entertainment,45,0,,
10/19/2025,13,entertainment,46,1,,
10/19/2025,14,entertainment,47,1,,
10/19/2025,15,entertainment,53,6,,
10/19/2025,16,entertainment,56,3,,
10/19/2025,17,entertainment,56,0,,
10/19/2025,18,entertainment,56,0,,
10/19/2025,19,entertainment,56,0,,
10/19/2025,20,entertainment,56,0,,
10/19/2025,21,entertainment,56,0,,
10/19/2025,22,entertainment,56,0,,
10/19/2025,23,entertainment,56,0,,
10/19/2025,0,others,0,0,,
10/19/2025,1,others,0,0,,
10/19/2025,2,others,0,0,,
10/19/2025,3,others,0,0,,
10/19/2025,4,others,0,0,,
10/19/2025,5,others,0,0,,
10/19/2025,6,others,0,0,,
10/19/2025,7,others,0,0,,
10/19/2025,8,others,0,0,,
10/19/2025,9,others,0,0,,
10/19/2025,10,others,0,0,,
10/19/2025,11,others,0,0,,
10/19/2025,12,others,0,0,,
10/19/2025,13,others,1,1,,
10/19/2025,14,others,1,0,,
10/19/2025,15,others,1,0,,
10/19/2025,16,others,1,0,,
10/19/2025,17,others,1,0,,
10/19/2025,18,others,2,1,,
10/19/2025,19,others,2,0,,
10/19/2025,20,others,15,13,,
10/19/2025,21,others,15,0,,
10/19/2025,22,others,15,0,,
10/19/2025,23,others,15,0,,
10/20/2025,0,social,42,42,,
10/20/2025,1,social,42,0,,
10/20/2025,2,social,55,13,,
10/20/2025,3,social,55,0,,
10/20/2025,4,social,56,1,,
10/20/2025,5,social,56,0,,
10/20/2025,6,social,57,1,,
10/20/2025,7,social,58,1,,
10/20/2025,8,social,59,1,,
10/20/2025,9,social,61,2,,
10/20/2025,10,social,62,1,,
10/20/2025,11,social,72,0,,
10/20/2025,12,social,83,10,,
10/20/2025,13,social,91,11,,
10/20/2025,14,social,98,8,,
10/20/2025,15,social,125,7,,
10/20/2025,16,social,140,27,,
10/20/2025,17,social,178,15,,
10/20/2025,18,social,216,38,,
10/20/2025,19,social,249,38,,
10/20/2025,20,social,267,33,,
10/20/2025,21,social,276,18,,
10/20/2025,22,social,290,9,,
10/20/2025,23,social,308,14,,
10/20/2025,0,entertainment,18,18,,
10/20/2025,1,entertainment,18,0,,
10/20/2025,2,entertainment,48,30,,
10/20/2025,3,entertainment,55,7,,
10/20/2025,4,entertainment,72,17,,
10/20/2025,5,entertainment,72,0,,
10/20/2025,6,entertainment,72,0,,
10/20/2025,7,entertainment,72,0,,
10/20/2025,8,entertainment,72,0,,
10/20/2025,9,entertainment,95,23,,
10/20/2025,10,entertainment,98,3,,
10/20/2025,11,entertainment,99,1,,
10/20/2025,12,entertainment,105,6,,
10/20/2025,13,entertainment,105,0,,
10/20/2025,14,entertainment,106,1,,
10/20/2025,15,entertainment,112,6,,
10/20/2025,16,entertainment,112,0,,
10/20/2025,17,entertainment,118,6,,
10/20/2025,18,entertainment,118,0,,
10/20/2025,19,entertainment,118,0,,
10/20/2025,20,entertainment,118,0,,
10/20/2025,21,entertainment,123,5,,
10/20/2025,22,entertainment,153,30,,
10/20/2025,23,entertainment,153,0,,
10/20/2025,0,others,0,0,,
10/20/2025,1,others,0,0,,
10/20/2025,2,others,0,0,,
10/20/2025,3,others,0,0,,
10/20/2025,4,others,0,0,,
10/20/2025,5,others,0,0,,
10/20/2025,6,others,5,5,,
10/20/2025,7,others,62,57,,
10/20/2025,8,others,73,11,,
10/20/2025,9,others,73,0,,
10/20/2025,10,others,73,0,,
10/20/2025,11,others,73,0,,
10/20/2025,12,others,73,0,,
10/20/2025,13,others,73,0,,
10/20/2025,14,others,73,0,,
10/20/2025,15,others,73,0,,
10/20/2025,16,others,73,0,,
10/20/2025,17,others,73,0,,
10/20/2025,18,others,73,0,,
10/20/2025,19,others,73,0,,
10/20/2025,20,others,73,0,,
10/20/2025,21,others,73,0,,
10/20/2025,22,others,73,0,,
10/20/2025,23,others,73,0,,
10/21/2025,0,social,24,24,,
10/21/2025,1,social,25,1,,
10/21/2025,2,social,26,1,,
10/21/2025,3,social,27,1,,
10/21/2025,4,social,27,0,,
10/21/2025,5,social,27,0,,
10/21/2025,6,social,27,0,,
10/21/2025,7,social,27,0,,
10/21/2025,8,social,27,0,,
10/21/2025,9,social,27,0,,
10/21/2025,10,social,27,0,,
10/21/2025,11,social,75,48,,
10/21/2025,12,social,114,39,,
10/21/2025,13,social,152,38,,
10/21/2025,14,social,157,5,,
10/21/2025,15,social,158,1,,
10/21/2025,16,social,199,41,,
10/21/2025,17,social,248,49,,
10/21/2025,18,social,288,40,,
10/21/2025,19,social,330,42,,
10/21/2025,20,social,331,1,,
10/21/2025,21,social,331,0,,
10/21/2025,22,social,331,0,,
10/21/2025,23,social,331,0,,
10/21/2025,0,others,0,0,,
10/21/2025,1,others,0,0,,
10/21/2025,2,others,0,0,,
10/21/2025,3,others,0,0,,
10/21/2025,4,others,0,0,,
10/21/2025,5,others,0,0,,
10/21/2025,6,others,0,0,,
10/21/2025,7,others,0,0,,
10/21/2025,8,others,0,0,,
10/21/2025,9,others,9,9,,
10/21/2025,10,others,35,26,,
10/21/2025,11,others,46,11,,
10/21/2025,12,others,46,0,,
10/21/2025,13,others,46,0,,
10/21/2025,14,others,46,0,,
10/21/2025,15,others,46,0,,
10/21/2025,16,others,46,0,,
10/21/2025,17,others,46,0,,
10/21/2025,18,others,46,0,,
10/21/2025,19,others,46,0,,
10/21/2025,20,others,46,0,,
10/21/2025,21,others,46,0,,
10/21/2025,22,others,46,0,,
10/21/2025,23,others,46,0,,
10/21/2025,0,entertainment,11,11,,
10/21/2025,1,entertainment,11,0,,
10/21/2025,2,entertainment,11,0,,
10/21/2025,3,entertainment,11,0,,
10/21/2025,4,entertainment,11,0,,
10/21/2025,5,entertainment,11,0,,
10/21/2025,6,entertainment,11,0,,
10/21/2025,7,entertainment,11,0,,
10/21/2025,8,entertainment,11,0,,
10/21/2025,9,entertainment,11,0,,
10/21/2025,10,entertainment,12,1,,
10/21/2025,11,entertainment,12,0,,
10/21/2025,12,entertainment,22,10,,
10/21/2025,13,entertainment,26,4,,
10/21/2025,14,entertainment,26,0,,
10/21/2025,15,entertainment,26,0,,
10/21/2025,16,entertainment,26,0,,
10/21/2025,17,entertainment,26,0,,
10/21/2025,18,entertainment,26,0,,
10/21/2025,19,entertainment,26,0,,
10/21/2025,20,entertainment,26,0,,
10/21/2025,21,entertainment,26,0,,
10/21/2025,22,entertainment,26,0,,
10/21/2025,23,entertainment,26,0,,
10/22/2025,0,social,36,36,,
10/22/2025,1,social,72,36,,
10/22/2025,2,social,115,43,,
10/22/2025,3,social,175,60,,
10/22/2025,4,social,235,60,,
10/22/2025,5,social,283,48,,
10/22/2025,6,social,283,0,,
10/22/2025,7,social,283,0,,
10/22/2025,8,social,283,0,,
10/22/2025,9,social,283,0,,
10/22/2025,10,social,283,0,,
10/22/2025,11,social,301,18,,
10/22/2025,12,social,304,3,,
10/22/2025,13,social,305,1,,
10/22/2025,14,social,320,15,,
10/22/2025,15,social,321,1,,
10/22/2025,16,social,352,31,,
10/22/2025,17,social,380,28,,
10/22/2025,18,social,418,38,,
10/22/2025,19,social,428,10,,
10/22/2025,20,social,429,1,,
10/22/2025,21,social,434,5,,
10/22/2025,22,social,436,2,,
10/22/2025,23,social,437,1,,
10/22/2025,0,entertainment,14,14,,
10/22/2025,1,entertainment,28,14,,
10/22/2025,2,entertainment,42,14,,
10/22/2025,3,entertainment,42,0,,
10/22/2025,4,entertainment,42,0,,
10/22/2025,5,entertainment,54,12,,
10/22/2025,6,entertainment,54,0,,
10/22/2025,7,entertainment,54,0,,
10/22/2025,8,entertainment,54,0,,
10/22/2025,9,entertainment,54,0,,
10/22/2025,10,entertainment,54,0,,
10/22/2025,11,entertainment,69,15,,
10/22/2025,12,entertainment,110,41,,
10/22/2025,13,entertainment,111,1,,
10/22/2025,14,entertainment,111,0,,
